year,month,China_Policy_Index
2018,8,502.75373
2018,9,516.48662
2018,10,621.4264
2018,11,677.53756
2018,12,935.31032
2019,1,654.96267
2019,2,720.15793
2019,3,753.10775
2019,4,502.55005
2019,5,759.06873
2019,6,959.85229
2019,7,721.64669
2019,8,904.93839
2019,9,933.88379
2019,10,970.82989
2019,11,726.59107
2019,12,894.89573
2020,1,755.26383
2020,2,646.36755
2020,3,734.64228
2020,4,819.17598
2020,5,934.71704
2020,6,843.61519
2020,7,893.4085
2020,8,821.08324
2020,9,563.81639
2020,10,631.75338
2020,11,723.90947
2020,12,606.51655
2021,1,665.30833
2021,2,565.40048
2021,3,493.89919
2021,4,488.22677
2021,5,492.67571
2021,6,413.07234
2021,7,505.57954
2021,8,592.80046
2021,9,356.06349
2021,10,452.14938
2021,11,491.74963
2021,12,589.8113
2022,1,582.58103
2022,2,406.17779
2022,3,863.93661
2022,4,843.91854
2022,5,735.83327
2022,6,763.40105
2022,7,778.83988
2022,8,602.4936
2022,9,689.29531
2022,10,743.39758
2022,11,892.68386
2022,12,700.52431
2023,1,728.04491
2023,2,573.7079
2023,3,756.75674
2023,4,354.6664
2023,5,522.09041
2023,6,523.11698
2023,7,704.56608
2023,8,709.88199
2023,9,819.74615
2023,10,603.73989
2023,11,743.39758
